Start,2006-04-09 01:00:00 
Deadline,2006-04-12 09:00:00 
Key,Description,Effort
1,code read.burndown(),4
2,code summary.burndown(),1
3,code plot.burndown(),5
  4, create R package,        2
  5, write documentation,     2
  6, set up website,          1
Key, Done,  Time
  1,     5, 2006-04-09 02:00:00
  2,     5, 2006-04-09 02:30:00
  1,    10, 2006-04-09 03:00:00
  2,    50, 2006-04-09 04:00:00
  4,     5, 2006-04-09 08:30:00
  5,     5, 2006-04-09 09:00:00
  4,   100, 2006-04-09 10:16:00
  1,    50, 2006-04-09 22:10:00
  3,     5, 2006-04-09 22:41:00
  3,    30, 2006-04-09 23:18:00
  3,    80, 2006-04-10
  2,    60, 2006-04-10 01:00:00
  2,   100, 2006-04-10 01:10:00
  1,    70, 2006-04-10 01:30:00
  5,    30, 2006-04-10 02:50:00
  5,    90, 2006-04-10 03:20:00
  5,   100, 2006-04-10 03:30:00
  1,   100, 2006-04-10 03:35:00
  3,   100, 2006-04-10 03:40:00
  6,   100, 2006-04-10 05:00:00
